X,Y
0.0000,13.0000
0.4151,1.1177
0.8303,7.5437
1.2454,8.9144
1.6605,10.0556
2.0757,17.1411
2.4908,11.9815
2.9059,19.1112
3.3211,16.7819
3.7362,24.2396
4.1513,21.8266
4.5665,28.4325
4.9816,37.1481
5.3967,45.3259
5.8119,57.6363
6.2270,60.3333
6.6421,60.3333
7.0573,60.3333
7.4724,60.3333
7.8875,60.3333
8.3027,51.7737
8.7178,39.6794
9.1329,36.6379
9.5481,31.1325
9.9632,26.4444
10.3783,19.0445
10.7935,16.2644
11.2086,15.5729
11.6237,14.7449
12.0389,12.0143
12.4540,12.6991
12.8691,14.4037
13.2843,12.6255
13.6994,10.7431
14.1145,9.3873
14.5297,15.4873
14.9448,15.5000
15.3599,9.0925
15.7751,12.0427
16.1902,16.0637
16.6053,20.0453
17.0205,26.5307
17.4356,28.5278
17.8507,27.0153
18.2658,32.6379
18.6810,35.7604
19.0961,41.6245
19.5112,46.9787
19.9264,55.3704
20.3415,48.7094
20.7566,25.9439
21.1718,25.4838
21.5869,21.2634
22.0020,6.0887
22.4172,6.7500
22.8323,2.5235
23.2474,8.1358
23.6626,6.5822
24.0777,1.8349
24.4928,5.4249
24.9080,0.8519
25.3231,0.6116
25.7382,2.7181
26.1534,3.1458
26.5685,5.1481
26.9836,6.4780
27.3988,5.8565
27.8139,0.8308
28.2290,10.2449
28.6442,6.4769
29.0593,1.4979
29.4744,0.0729
29.8896,5.988E-12
