X,Y
0.0000,23.000
0.4151,10.953
0.8303,19.949
1.2454,29.049
1.6605,33.156
2.0757,26.662
2.4908,52.691
2.9059,19.885
3.3211,24.875
3.7362,30.589
4.1513,65.297
4.5665,62.869
4.9816,36.625
5.3967,63.262
5.8119,51.184
6.2270,66.927
6.6421,48.250
7.0573,86.708
7.4724,116.945
7.8875,126.153
8.3027,109.031
8.7178,108.223
9.1329,71.973
9.5481,65.358
9.9632,56.438
10.3783,35.610
10.7935,24.922
11.2086,40.176
11.6237,29.922
12.0389,24.426
12.4540,35.426
12.8691,41.238
13.2843,28.000
13.6994,36.438
14.1145,39.273
14.5297,36.566
14.9448,44.969
15.3599,45.288
15.7751,58.152
16.1902,75.271
16.6053,73.938
17.0205,90.460
17.4356,117.656
17.8507,133.222
18.2658,103.453
18.6810,91.944
19.0961,77.656
19.5112,58.882
19.9264,40.000
20.3415,37.451
20.7566,41.484
21.1718,47.640
21.5869,23.531
22.0020,32.181
22.4172,21.180
22.8323,22.472
23.2474,25.500
23.6626,36.508
24.0777,17.242
24.4928,16.904
24.9080,17.328
25.3231,10.484
25.7382,0.301
26.1534,8.238
26.5685,0.000
