X,Y
0.0000,20.000
0.4151,45.516
0.8303,32.931
1.2454,36.132
1.6605,45.901
2.0757,38.052
2.4908,42.384
2.9059,39.018
3.3211,62.093
3.7362,106.292
4.1513,89.109
4.5665,96.027
4.9816,122.385
5.3967,161.813
5.8119,151.482
6.2270,111.935
6.6421,95.095
7.0573,79.313
7.4724,63.687
7.8875,50.749
8.3027,43.457
8.7178,43.591
9.1329,36.549
9.5481,40.801
9.9632,33.870
10.3783,15.501
10.7935,16.990
11.2086,9.432
11.6237,37.366
12.0389,19.500
12.4540,11.622
12.8691,25.034
13.2843,22.323
13.6994,12.639
14.1145,31.345
14.5297,22.142
14.9448,36.509
15.3599,49.815
15.7751,49.257
16.1902,52.944
16.6053,75.295
17.0205,99.451
17.4356,110.590
17.8507,152.297
18.2658,162.344
18.6810,122.529
19.0961,90.887
19.5112,87.783
19.9264,80.913
20.3415,75.490
20.7566,66.371
21.1718,51.725
21.5869,44.935
22.0020,39.149
22.4172,49.473
22.8323,32.119
23.2474,27.698
23.6626,16.096
24.0777,29.000
